,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
23066,35:19.0,9.3,2012-02-18 14:35:19 UTC,-73.988585,40.748618,-73.978531,40.783301,1
199172,17:00.0,6.9,2009-07-30 07:17:00 UTC,-73.954962,40.769892,-73.976043,40.760175,1
154843,43:00.0,13.3,2010-08-04 08:43:00 UTC,-73.986997,40.759537,-74.002873,40.718503000000005,1
230037,00:46.0,6.5,2012-09-10 02:00:46 UTC,-73.975208,40.761902,-73.990135,40.757067,2
673761,54:00.0,6.9,2011-01-25 20:54:00 UTC,-73.993963,40.751317,-73.97232199999999,40.753668,1
468639,00:36.0,6.0,2014-12-07 13:00:36 UTC,-74.001558,40.741293,-73.990214,40.740669,1
304461,37:00.0,6.9,2011-12-22 23:37:00 UTC,-73.991063,40.770590000000006,-73.98491999999999,40.753871999999994,1
417945,11:00.0,4.9,2009-09-24 22:11:00 UTC,-73.974048,40.750855,-73.963695,40.760202,1
543271,32:49.0,5.3,2012-03-19 12:32:49 UTC,-73.99425500000001,40.730018,-73.99458299999999,40.740287,1
629874,50:00.0,10.1,2012-05-05 23:50:00 UTC,-73.984728,40.73938,-73.961493,40.764938,1
784403,41:50.0,6.1,2010-10-18 14:41:50 UTC,-73.961493,40.774553000000004,-73.953512,40.767247,1
970690,33:07.0,4.0,2013-11-27 07:33:07 UTC,-73.97636700000001,40.744201000000004,-73.97411899999999,40.751437,1
702332,55:27.0,10.9,2010-05-18 06:55:27 UTC,-73.980592,40.733814,-73.961214,40.706199,1
611198,49:05.0,7.5,2015-01-19 18:49:05 UTC,-73.98204803,40.75986099,-73.99131775,40.75648499,1
976657,36:00.0,4.1,2012-04-14 23:36:00 UTC,0.0,0.0,0.0,0.0,1
126753,51:28.0,20.5,2011-08-22 21:51:28 UTC,-74.00573299999999,40.740338,-73.943184,40.821148,1
443181,07:59.0,8.5,2012-08-13 15:07:59 UTC,-73.957576,40.766023,-73.975746,40.753060999999995,3
604571,04:59.0,7.3,2011-08-17 01:04:59 UTC,-73.986264,40.743425,-74.006976,40.729354,2
343143,55:00.0,7.0,2014-11-23 19:55:00 UTC,-73.98812,40.749975,-74.005787,40.740127,1
742926,12:00.0,18.5,2013-09-19 22:12:00 UTC,-73.984122,40.725307,-73.974725,40.687792,1
746622,58:08.0,11.3,2011-11-09 01:58:08 UTC,-73.988167,40.728045,-73.944761,40.716467,2
333529,37:48.0,7.3,2009-03-16 14:37:48 UTC,-74.00808,40.723983000000004,-74.01643299999999,40.705175,1
449722,39:00.0,6.1,2012-08-27 20:39:00 UTC,-73.978335,40.75673,-73.98235799999999,40.77745,1
626477,53:00.0,5.3,2009-02-21 18:53:00 UTC,-73.869857,40.772325,-73.869857,40.772325,1
504996,40:00.0,10.0,2013-10-23 08:40:00 UTC,-73.976562,40.764441999999995,-73.99025300000001,40.751437,2
567250,12:15.0,7.5,2015-05-07 20:12:15 UTC,-73.98122406,40.75011826,-73.96460724,40.75585938,2
20309,44:05.0,18.2,2009-02-25 04:44:05 UTC,-74.00449,40.733853,-73.94962,40.691534999999995,1
377659,30:00.0,10.1,2011-06-04 12:30:00 UTC,-73.98934799999999,40.768128000000004,-73.99144799999999,40.739129999999996,5
382520,28:00.0,7.5,2014-03-18 00:28:00 UTC,-73.99116500000001,40.735175,-74.0069,40.743787,1
108443,12:40.0,16.5,2013-05-06 16:12:40 UTC,-73.965463,40.761828,-74.008225,40.738177,2
552158,05:00.0,6.9,2010-02-24 23:05:00 UTC,-73.993488,40.72954,-74.002077,40.745165,1
369197,37:00.0,6.5,2012-07-27 09:37:00 UTC,-73.980305,40.748272,-73.969887,40.762607,1
644741,54:00.0,49.57,2010-07-02 14:54:00 UTC,-73.78978199999999,40.648043,-73.959398,40.777120000000004,1
451292,44:53.0,7.5,2013-11-30 17:44:53 UTC,-73.98235600000001,40.768308000000005,-73.984853,40.758749,1
333759,40:00.0,11.0,2013-05-13 15:40:00 UTC,-73.965632,40.790382,-73.986743,40.769971999999996,1
124029,40:00.0,13.7,2012-06-13 20:40:00 UTC,-73.986152,40.762822,-73.945502,40.811912,1
506359,01:46.0,22.83,2014-03-10 21:01:46 UTC,-74.007588,40.705265999999995,-73.97940200000001,40.658967,1
