,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
634142,54:12.0,4.1,2010-09-03 04:54:12 UTC,-73.962525,40.763362,-73.993378,40.727892,2
170768,04:00.0,3.0,2013-04-14 04:04:00 UTC,-73.991962,40.727317,-73.98997299999999,40.7293,1
448318,39:00.0,5.7,2009-03-09 11:39:00 UTC,-73.99901,40.734472,-73.998458,40.743858,1
170545,14:00.0,9.7,2009-05-04 19:14:00 UTC,-73.987207,40.742490000000004,-73.95473,40.763688,1
931029,46:45.0,12.9,2010-05-22 00:46:45 UTC,-73.990053,40.719273,-73.992888,40.755274,2
493359,03:00.0,10.5,2012-09-24 22:03:00 UTC,-73.9775,40.764802,-73.996925,40.735717,5
918367,39:51.0,4.9,2010-12-03 09:39:51 UTC,-73.955834,40.778708,-73.963042,40.769042999999996,1
675069,22:23.0,7.5,2013-05-29 17:22:23 UTC,-73.980674,40.742734999999996,-73.99586500000001,40.738541,1
629075,36:46.0,45.0,2010-08-20 16:36:46 UTC,-73.78994,40.646936,-73.98201,40.728412,1
604285,50:53.0,9.3,2011-02-17 23:50:53 UTC,-73.990227,40.742703000000006,-73.983396,40.718736,1
594996,39:00.0,14.5,2009-05-05 16:39:00 UTC,-73.976512,40.791005,-73.985173,40.747842,1
534091,55:08.0,9.7,2012-04-16 10:55:08 UTC,-73.98515400000001,40.758746,-74.00403,40.720797,3
683864,03:00.0,7.5,2013-02-25 13:03:00 UTC,-73.950425,40.780617,-73.95454000000001,40.765545,2
148710,03:00.0,9.3,2010-10-08 21:03:00 UTC,-73.991515,40.735147,-73.98605,40.758582000000004,5
706331,20:00.0,32.1,2011-10-12 18:20:00 UTC,-73.976302,40.75233,-73.885467,40.773117,1
600299,43:36.0,10.1,2011-07-04 22:43:36 UTC,-73.9975,40.7189,-73.9884,40.6859,0
643980,14:33.0,15.0,2013-11-22 12:14:33 UTC,-73.97856,40.743536999999996,-73.975803,40.763958,1
545442,06:00.0,10.1,2011-09-30 08:06:00 UTC,-73.99805500000001,40.729385,-74.007737,40.722612,1
503957,16:00.0,57.33,2013-06-14 04:16:00 UTC,-73.990622,40.761086999999996,-73.78165,40.64844,1
